feature_name,display_name,neighbor_group,importance
pt,pT,,0.020443
eta,eta,,0.005595
abs_z0sinTheta,|z0sinθ|,,0.015072
d0,d0,,0.016707
isolation,isolation,,0.044954
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.005242
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.007440
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.004604
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.005587
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.015738
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.004309
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.005248
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.005437
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.007984
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.011174
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.005213
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.003662
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.004843
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.005330
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.008850
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.005014
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.005309
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.006292
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.008331
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.005227
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.005736
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.004627
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.005497
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.010147
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.005309
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.005527
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.003761
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.004610
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.008004
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.006150
d0_nbh_dR_07,d0_nbh_dR_07,d0_nbh_dR,0.005775
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.005379
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.005685
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.010197
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.005249
