feature_name,display_name,neighbor_group,importance
pt,pT,,0.007721
eta,eta,,0.004125
abs_z0sinTheta,|z0sinθ|,,0.011802
d0,d0,,0.007693
isolation,isolation,,0.011407
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.003980
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.007629
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.004896
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.005833
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.006922
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.005188
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.005490
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.004272
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.004558
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.010063
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.007950
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.009612
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.007172
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.008112
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.008749
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.006942
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.007896
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.009775
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.006828
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.004818
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.008387
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.007190
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.006865
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.009169
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.006818
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.008638
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.006641
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.008259
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.006946
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.007721
d0_nbh_dR_07,d0_nbh_dR_07,d0_nbh_dR,0.013152
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.004520
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.010671
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.002823
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.013705
d0_nbh_dR_08,d0_nbh_dR_08,d0_nbh_dR,0.006613
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.006707
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.009568
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.005457
dz0sintheta_nbh_dR_08,Δz0sinθ_nbh_dR_08,dz0sintheta_nbh_dR,0.004976
d0_nbh_dR_09,d0_nbh_dR_09,d0_nbh_dR,0.008136
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.010205
deta_nbh_dR_09,Δeta_nbh_dR_09,deta_nbh_dR,0.009325
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.007098
dz0sintheta_nbh_dR_09,Δz0sinθ_nbh_dR_09,dz0sintheta_nbh_dR,0.008008
d0_nbh_dR_10,d0_nbh_dR_10,d0_nbh_dR,0.009248
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.014395
deta_nbh_dR_10,Δeta_nbh_dR_10,deta_nbh_dR,0.010397
deltaR_nbh_dR_10,ΔR_nbh_dR_10,deltaR_nbh_dR,0.014486
dz0sintheta_nbh_dR_10,Δz0sinθ_nbh_dR_10,dz0sintheta_nbh_dR,0.007925
d0_nbh_pT_01,d0_nbh_pT_01,d0_nbh_pT,0.005862
pt_nbh_pT_01,pT_nbh_pT_01,pt_nbh_pT,0.007166
deta_nbh_pT_01,Δeta_nbh_pT_01,deta_nbh_pT,0.007003
deltaR_nbh_pT_01,ΔR_nbh_pT_01,deltaR_nbh_pT,0.014881
dz0sintheta_nbh_pT_01,Δz0sinθ_nbh_pT_01,dz0sintheta_nbh_pT,0.009744
d0_nbh_pT_02,d0_nbh_pT_02,d0_nbh_pT,0.007094
pt_nbh_pT_02,pT_nbh_pT_02,pt_nbh_pT,0.026570
deta_nbh_pT_02,Δeta_nbh_pT_02,deta_nbh_pT,0.005330
deltaR_nbh_pT_02,ΔR_nbh_pT_02,deltaR_nbh_pT,0.009551
dz0sintheta_nbh_pT_02,Δz0sinθ_nbh_pT_02,dz0sintheta_nbh_pT,0.006119
d0_nbh_pT_03,d0_nbh_pT_03,d0_nbh_pT,0.006178
pt_nbh_pT_03,pT_nbh_pT_03,pt_nbh_pT,0.071646
deta_nbh_pT_03,Δeta_nbh_pT_03,deta_nbh_pT,0.003762
deltaR_nbh_pT_03,ΔR_nbh_pT_03,deltaR_nbh_pT,0.005050
dz0sintheta_nbh_pT_03,Δz0sinθ_nbh_pT_03,dz0sintheta_nbh_pT,0.004542
d0_nbh_pT_04,d0_nbh_pT_04,d0_nbh_pT,0.016248
pt_nbh_pT_04,pT_nbh_pT_04,pt_nbh_pT,0.057342
deta_nbh_pT_04,Δeta_nbh_pT_04,deta_nbh_pT,0.007228
deltaR_nbh_pT_04,ΔR_nbh_pT_04,deltaR_nbh_pT,0.006856
dz0sintheta_nbh_pT_04,Δz0sinθ_nbh_pT_04,dz0sintheta_nbh_pT,0.006075
d0_nbh_pT_05,d0_nbh_pT_05,d0_nbh_pT,0.004971
pt_nbh_pT_05,pT_nbh_pT_05,pt_nbh_pT,0.014411
deta_nbh_pT_05,Δeta_nbh_pT_05,deta_nbh_pT,0.009578
deltaR_nbh_pT_05,ΔR_nbh_pT_05,deltaR_nbh_pT,0.004327
dz0sintheta_nbh_pT_05,Δz0sinθ_nbh_pT_05,dz0sintheta_nbh_pT,0.005706
d0_nbh_pT_06,d0_nbh_pT_06,d0_nbh_pT,0.004148
pt_nbh_pT_06,pT_nbh_pT_06,pt_nbh_pT,0.012317
deta_nbh_pT_06,Δeta_nbh_pT_06,deta_nbh_pT,0.006472
deltaR_nbh_pT_06,ΔR_nbh_pT_06,deltaR_nbh_pT,0.004117
dz0sintheta_nbh_pT_06,Δz0sinθ_nbh_pT_06,dz0sintheta_nbh_pT,0.011511
d0_nbh_pT_07,d0_nbh_pT_07,d0_nbh_pT,0.012604
pt_nbh_pT_07,pT_nbh_pT_07,pt_nbh_pT,0.010586
deta_nbh_pT_07,Δeta_nbh_pT_07,deta_nbh_pT,0.008670
deltaR_nbh_pT_07,ΔR_nbh_pT_07,deltaR_nbh_pT,0.007878
dz0sintheta_nbh_pT_07,Δz0sinθ_nbh_pT_07,dz0sintheta_nbh_pT,0.011687
d0_nbh_pT_08,d0_nbh_pT_08,d0_nbh_pT,0.008865
pt_nbh_pT_08,pT_nbh_pT_08,pt_nbh_pT,0.003259
deta_nbh_pT_08,Δeta_nbh_pT_08,deta_nbh_pT,0.010752
deltaR_nbh_pT_08,ΔR_nbh_pT_08,deltaR_nbh_pT,0.006999
dz0sintheta_nbh_pT_08,Δz0sinθ_nbh_pT_08,dz0sintheta_nbh_pT,0.006123
d0_nbh_pT_09,d0_nbh_pT_09,d0_nbh_pT,0.012274
pt_nbh_pT_09,pT_nbh_pT_09,pt_nbh_pT,0.010290
deta_nbh_pT_09,Δeta_nbh_pT_09,deta_nbh_pT,0.009362
deltaR_nbh_pT_09,ΔR_nbh_pT_09,deltaR_nbh_pT,0.003423
dz0sintheta_nbh_pT_09,Δz0sinθ_nbh_pT_09,dz0sintheta_nbh_pT,0.010179
d0_nbh_pT_10,d0_nbh_pT_10,d0_nbh_pT,0.019121
pt_nbh_pT_10,pT_nbh_pT_10,pt_nbh_pT,0.017672
deta_nbh_pT_10,Δeta_nbh_pT_10,deta_nbh_pT,0.006398
deltaR_nbh_pT_10,ΔR_nbh_pT_10,deltaR_nbh_pT,0.018363
dz0sintheta_nbh_pT_10,Δz0sinθ_nbh_pT_10,dz0sintheta_nbh_pT,0.010210
