key,value
n_events_requested,300
min_pt_MeV,1000.0
neighbor_dr_cut,0.5
neighbor_dz_cut_mm,15.0
max_neighbors_K,10
use_neighbors,True
use_d0,True
use_isolation,True
use_gbreweighter,True
n_features,105
n_signal_events,277
n_bkg_events,299
n_signal_muons,277
n_bkg_muons,16445
n_train,13277
n_holdout,3445
scale_pos_weight,59.07692307692308
n_estimators,300
max_depth,6
learning_rate,0.1
subsample,0.8
colsample_bytree,0.8
min_child_weight,1.0
gamma,0.0
reg_alpha,0.0
reg_lambda,1.0
auc_train,1.0
auc_holdout,0.8135986173755427
holdout_youden_thr,0.0005703341448679566
holdout_youden_J,0.505854023521477
holdout_accuracy_0p5,0.9834542815674892
ks_pt_unweighted,0.06005491138763197
ks_eta_unweighted,0.17693014705882354
ks_pt_reweighted,0.022758254599412497
ks_eta_reweighted,0.02429563572718782
