feature_name,display_name,neighbor_group,importance
pt,pT,,0.020705
eta,eta,,0.006018
abs_z0sinTheta,|z0sinθ|,,0.006658
abs_d0,|d0|,,0.023344
d0_nbh_dR_01,|d0|_nbh_dR_01,d0_nbh_dR,0.004409
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.007606
eta_nbh_dR_01,eta_nbh_dR_01,eta_nbh_dR,0.008060
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.006630
zsintheta_nbh_dR_01,|z0sinθ|_nbh_dR_01,zsintheta_nbh_dR,0.005909
d0_nbh_dR_02,|d0|_nbh_dR_02,d0_nbh_dR,0.004375
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.006711
eta_nbh_dR_02,eta_nbh_dR_02,eta_nbh_dR,0.005322
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.007808
zsintheta_nbh_dR_02,|z0sinθ|_nbh_dR_02,zsintheta_nbh_dR,0.007764
d0_nbh_dR_03,|d0|_nbh_dR_03,d0_nbh_dR,0.005190
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.007097
eta_nbh_dR_03,eta_nbh_dR_03,eta_nbh_dR,0.006906
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.014028
zsintheta_nbh_dR_03,|z0sinθ|_nbh_dR_03,zsintheta_nbh_dR,0.006600
d0_nbh_dR_04,|d0|_nbh_dR_04,d0_nbh_dR,0.002526
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.004459
eta_nbh_dR_04,eta_nbh_dR_04,eta_nbh_dR,0.006800
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.022255
zsintheta_nbh_dR_04,|z0sinθ|_nbh_dR_04,zsintheta_nbh_dR,0.007813
d0_nbh_dR_05,|d0|_nbh_dR_05,d0_nbh_dR,0.004094
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.004160
eta_nbh_dR_05,eta_nbh_dR_05,eta_nbh_dR,0.003120
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.010363
zsintheta_nbh_dR_05,|z0sinθ|_nbh_dR_05,zsintheta_nbh_dR,0.008705
d0_nbh_dR_06,|d0|_nbh_dR_06,d0_nbh_dR,0.004604
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.005099
eta_nbh_dR_06,eta_nbh_dR_06,eta_nbh_dR,0.004295
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.009715
zsintheta_nbh_dR_06,|z0sinθ|_nbh_dR_06,zsintheta_nbh_dR,0.008357
d0_nbh_dR_07,|d0|_nbh_dR_07,d0_nbh_dR,0.004319
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.004264
eta_nbh_dR_07,eta_nbh_dR_07,eta_nbh_dR,0.005120
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.008981
zsintheta_nbh_dR_07,|z0sinθ|_nbh_dR_07,zsintheta_nbh_dR,0.005871
d0_nbh_dR_08,|d0|_nbh_dR_08,d0_nbh_dR,0.003426
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.005150
eta_nbh_dR_08,eta_nbh_dR_08,eta_nbh_dR,0.003228
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.031277
zsintheta_nbh_dR_08,|z0sinθ|_nbh_dR_08,zsintheta_nbh_dR,0.004458
d0_nbh_dR_09,|d0|_nbh_dR_09,d0_nbh_dR,0.004077
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.004974
eta_nbh_dR_09,eta_nbh_dR_09,eta_nbh_dR,0.005527
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.009365
zsintheta_nbh_dR_09,|z0sinθ|_nbh_dR_09,zsintheta_nbh_dR,0.004995
d0_nbh_dR_10,|d0|_nbh_dR_10,d0_nbh_dR,0.004927
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.004999
eta_nbh_dR_10,eta_nbh_dR_10,eta_nbh_dR,0.004598
deltaR_nbh_dR_10,ΔR_nbh_dR_10,deltaR_nbh_dR,0.005251
zsintheta_nbh_dR_10,|z0sinθ|_nbh_dR_10,zsintheta_nbh_dR,0.005155
d0_nbh_pT_01,|d0|_nbh_pT_01,d0_nbh_pT,0.005473
pt_nbh_pT_01,pT_nbh_pT_01,pt_nbh_pT,0.077898
eta_nbh_pT_01,eta_nbh_pT_01,eta_nbh_pT,0.008337
deltaR_nbh_pT_01,ΔR_nbh_pT_01,deltaR_nbh_pT,0.015818
zsintheta_nbh_pT_01,|z0sinθ|_nbh_pT_01,zsintheta_nbh_pT,0.008034
d0_nbh_pT_02,|d0|_nbh_pT_02,d0_nbh_pT,0.004163
pt_nbh_pT_02,pT_nbh_pT_02,pt_nbh_pT,0.094278
eta_nbh_pT_02,eta_nbh_pT_02,eta_nbh_pT,0.006711
deltaR_nbh_pT_02,ΔR_nbh_pT_02,deltaR_nbh_pT,0.009323
zsintheta_nbh_pT_02,|z0sinθ|_nbh_pT_02,zsintheta_nbh_pT,0.013417
d0_nbh_pT_03,|d0|_nbh_pT_03,d0_nbh_pT,0.003842
pt_nbh_pT_03,pT_nbh_pT_03,pt_nbh_pT,0.070809
eta_nbh_pT_03,eta_nbh_pT_03,eta_nbh_pT,0.006856
deltaR_nbh_pT_03,ΔR_nbh_pT_03,deltaR_nbh_pT,0.004983
zsintheta_nbh_pT_03,|z0sinθ|_nbh_pT_03,zsintheta_nbh_pT,0.007877
d0_nbh_pT_04,|d0|_nbh_pT_04,d0_nbh_pT,0.004621
pt_nbh_pT_04,pT_nbh_pT_04,pt_nbh_pT,0.050102
eta_nbh_pT_04,eta_nbh_pT_04,eta_nbh_pT,0.005620
deltaR_nbh_pT_04,ΔR_nbh_pT_04,deltaR_nbh_pT,0.003659
zsintheta_nbh_pT_04,|z0sinθ|_nbh_pT_04,zsintheta_nbh_pT,0.011233
d0_nbh_pT_05,|d0|_nbh_pT_05,d0_nbh_pT,0.005268
pt_nbh_pT_05,pT_nbh_pT_05,pt_nbh_pT,0.013234
eta_nbh_pT_05,eta_nbh_pT_05,eta_nbh_pT,0.007064
deltaR_nbh_pT_05,ΔR_nbh_pT_05,deltaR_nbh_pT,0.004050
zsintheta_nbh_pT_05,|z0sinθ|_nbh_pT_05,zsintheta_nbh_pT,0.012709
d0_nbh_pT_06,|d0|_nbh_pT_06,d0_nbh_pT,0.005206
pt_nbh_pT_06,pT_nbh_pT_06,pt_nbh_pT,0.020503
eta_nbh_pT_06,eta_nbh_pT_06,eta_nbh_pT,0.005051
