key,value
n_events,5000
min_pt_MeV,1000.0
neighbor_dr_cut,0.5
neighbor_dz_cut_mm,15.0
max_neighbors_K,10
use_neighbors,True
use_gbreweighter,True
n_features,104
n_signal_muons,4679
n_bkg_muons,284020
n_train,231217
n_holdout,57482
scale_pos_weight,60.77317659631312
n_estimators,150
max_depth,3
learning_rate,0.1
subsample,0.8
colsample_bytree,0.8
min_child_weight,5.0
gamma,0.0
reg_alpha,0.0
reg_lambda,5.0
auc_train,0.8827780010622113
auc_holdout,0.8524279718108636
holdout_youden_thr,0.3871426582336426
holdout_youden_J,0.5536920474095517
holdout_accuracy_0p5,0.7177551233429595
ks_pt_unweighted,0.06444786421804216
ks_eta_unweighted,0.1296448976194644
ks_pt_reweighted,0.008010995824650646
ks_eta_reweighted,0.008840245465964569
