feature_name,display_name,neighbor_group,importance
pt,pT,,0.011400
eta,eta,,0.006051
abs_z0sinTheta,|z0sinθ|,,0.007633
d0,d0,,0.009009
isolation,isolation,,0.024288
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.002733
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.002842
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.001792
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.001967
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.003147
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.002618
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.002760
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.001758
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.007150
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.006769
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.002636
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.002902
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.002242
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.005920
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.005504
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.000000
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.002458
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.001808
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.014186
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.002036
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.002728
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.002232
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.002200
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.019539
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.002331
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.002987
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.001863
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.001987
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.024562
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.003835
d0_nbh_dR_07,d0_nbh_dR_07,d0_nbh_dR,0.003458
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.003758
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.002680
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.004512
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.003113
d0_nbh_dR_08,d0_nbh_dR_08,d0_nbh_dR,0.003343
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.002845
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.002876
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.011391
dz0sintheta_nbh_dR_08,Δz0sinθ_nbh_dR_08,dz0sintheta_nbh_dR,0.000000
d0_nbh_dR_09,d0_nbh_dR_09,d0_nbh_dR,0.001362
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.001945
deta_nbh_dR_09,Δeta_nbh_dR_09,deta_nbh_dR,0.002778
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.006279
dz0sintheta_nbh_dR_09,Δz0sinθ_nbh_dR_09,dz0sintheta_nbh_dR,0.002510
d0_nbh_dR_10,d0_nbh_dR_10,d0_nbh_dR,0.001378
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.003241
deta_nbh_dR_10,Δeta_nbh_dR_10,deta_nbh_dR,0.002665
