feature_name,display_name,neighbor_group,importance
pt,pT,,0.013497
eta,eta,,0.006328
abs_z0sinTheta,|z0sinθ|,,0.011450
isolation,isolation,,0.028324
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.013965
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.003388
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.004207
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.014264
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.017695
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.001373
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.004916
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.015503
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.010464
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.002305
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.015477
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.009788
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.009539
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.003602
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.032831
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.008795
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.008044
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.000000
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.035893
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.005508
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.003311
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.002591
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.023444
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.004355
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.004882
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.000000
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.012784
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.005937
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.003192
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.002694
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.012093
