key,value
muonbdt_version,1.1
n_events_requested,0
min_pt_MeV,1000.0
neighbor_dr_cut,1.2
neighbor_dz_cut_mm,15.0
max_neighbors_K,10
use_neighbors,True
use_zeta_order,False
d0_mode,both
use_muon_d0,True
use_nbr_d0,True
use_isolation,True
use_gbreweighter,True
n_features,105
n_signal_events,9291
n_bkg_events,9999
n_signal_muons,9291
n_bkg_muons,570694
n_train,465378
n_holdout,114607
scale_pos_weight,61.618137782561895
n_estimators,200
max_depth,3
learning_rate,0.1
subsample,0.8
colsample_bytree,0.8
min_child_weight,1.0
gamma,0.0
reg_alpha,0.0
reg_lambda,1.0
auc_train,0.9228662713919052
auc_holdout,0.9064226318149976
holdout_youden_thr,0.40115728974342346
holdout_youden_J,0.6635618850612942
holdout_accuracy_0p5,0.7915223328417985
ks_pt_unweighted,0.05570359422139526
ks_eta_unweighted,0.1182328248148915
ks_pt_reweighted,0.005553404953090979
ks_eta_reweighted,0.007603841394734079
