feature_name,display_name,neighbor_group,importance
pt,pT,,0.012659
eta,eta,,0.006871
abs_z0sinTheta,|z0sinθ|,,0.009645
isolation,isolation,,0.022803
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.003171
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.016196
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.003337
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.004083
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.012327
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.002786
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.020147
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.001569
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.007308
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.009695
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.002717
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.009969
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.001780
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.011090
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.008058
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.001933
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.009747
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.002544
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.021255
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.006830
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.002729
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.007599
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.002428
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.036910
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.004736
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.002858
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.002881
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.003271
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.024659
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.004566
d0_nbh_dR_07,d0_nbh_dR_07,d0_nbh_dR,0.003464
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.003959
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.003268
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.006640
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.005552
d0_nbh_dR_08,d0_nbh_dR_08,d0_nbh_dR,0.000000
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.003728
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.002150
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.027206
dz0sintheta_nbh_dR_08,Δz0sinθ_nbh_dR_08,dz0sintheta_nbh_dR,0.003783
d0_nbh_dR_09,d0_nbh_dR_09,d0_nbh_dR,0.001869
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.003300
deta_nbh_dR_09,Δeta_nbh_dR_09,deta_nbh_dR,0.002609
