feature_name,display_name,neighbor_group,importance
pt,pT,,0.009177
eta,eta,,0.005270
abs_z0sinTheta,|z0sinθ|,,0.010051
d0,d0,,0.006837
isolation,isolation,,0.003310
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.001712
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.019754
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.001776
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.005785
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.008018
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.002226
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.018682
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.001593
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.004257
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.006605
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.001530
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.015043
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.001320
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.005952
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.004807
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.001453
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.008086
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.001968
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.022651
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.003604
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.002204
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.007799
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.001776
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.030041
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.002603
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.001979
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.002145
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.001609
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.022597
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.002202
d0_nbh_dR_07,d0_nbh_dR_07,d0_nbh_dR,0.001624
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.003576
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.001120
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.013763
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.002573
d0_nbh_dR_08,d0_nbh_dR_08,d0_nbh_dR,0.001335
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.002729
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.000000
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.007718
dz0sintheta_nbh_dR_08,Δz0sinθ_nbh_dR_08,dz0sintheta_nbh_dR,0.002662
d0_nbh_dR_09,d0_nbh_dR_09,d0_nbh_dR,0.001423
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.002515
deta_nbh_dR_09,Δeta_nbh_dR_09,deta_nbh_dR,0.001745
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.009641
dz0sintheta_nbh_dR_09,Δz0sinθ_nbh_dR_09,dz0sintheta_nbh_dR,0.000000
d0_nbh_dR_10,d0_nbh_dR_10,d0_nbh_dR,0.002014
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.002062
deta_nbh_dR_10,Δeta_nbh_dR_10,deta_nbh_dR,0.001770
deltaR_nbh_dR_10,ΔR_nbh_dR_10,deltaR_nbh_dR,0.006256
dz0sintheta_nbh_dR_10,Δz0sinθ_nbh_dR_10,dz0sintheta_nbh_dR,0.002742
d0_nbh_pT_01,d0_nbh_pT_01,d0_nbh_pT,0.005424
pt_nbh_pT_01,pT_nbh_pT_01,pt_nbh_pT,0.009754
deta_nbh_pT_01,Δeta_nbh_pT_01,deta_nbh_pT,0.005238
deltaR_nbh_pT_01,ΔR_nbh_pT_01,deltaR_nbh_pT,0.027048
dz0sintheta_nbh_pT_01,Δz0sinθ_nbh_pT_01,dz0sintheta_nbh_pT,0.002948
d0_nbh_pT_02,d0_nbh_pT_02,d0_nbh_pT,0.001880
pt_nbh_pT_02,pT_nbh_pT_02,pt_nbh_pT,0.029082
deta_nbh_pT_02,Δeta_nbh_pT_02,deta_nbh_pT,0.004308
deltaR_nbh_pT_02,ΔR_nbh_pT_02,deltaR_nbh_pT,0.014600
dz0sintheta_nbh_pT_02,Δz0sinθ_nbh_pT_02,dz0sintheta_nbh_pT,0.001913
d0_nbh_pT_03,d0_nbh_pT_03,d0_nbh_pT,0.001882
pt_nbh_pT_03,pT_nbh_pT_03,pt_nbh_pT,0.085870
deta_nbh_pT_03,Δeta_nbh_pT_03,deta_nbh_pT,0.004627
deltaR_nbh_pT_03,ΔR_nbh_pT_03,deltaR_nbh_pT,0.004792
dz0sintheta_nbh_pT_03,Δz0sinθ_nbh_pT_03,dz0sintheta_nbh_pT,0.002114
d0_nbh_pT_04,d0_nbh_pT_04,d0_nbh_pT,0.001976
pt_nbh_pT_04,pT_nbh_pT_04,pt_nbh_pT,0.158585
deta_nbh_pT_04,Δeta_nbh_pT_04,deta_nbh_pT,0.002446
deltaR_nbh_pT_04,ΔR_nbh_pT_04,deltaR_nbh_pT,0.006500
dz0sintheta_nbh_pT_04,Δz0sinθ_nbh_pT_04,dz0sintheta_nbh_pT,0.001654
d0_nbh_pT_05,d0_nbh_pT_05,d0_nbh_pT,0.001276
pt_nbh_pT_05,pT_nbh_pT_05,pt_nbh_pT,0.108924
deta_nbh_pT_05,Δeta_nbh_pT_05,deta_nbh_pT,0.002750
deltaR_nbh_pT_05,ΔR_nbh_pT_05,deltaR_nbh_pT,0.001815
dz0sintheta_nbh_pT_05,Δz0sinθ_nbh_pT_05,dz0sintheta_nbh_pT,0.001750
d0_nbh_pT_06,d0_nbh_pT_06,d0_nbh_pT,0.002317
