feature_name,display_name,neighbor_group,importance
pt,pT,,0.032600
eta,eta,,0.009275
abs_z0sinTheta,|z0sinθ|,,0.012116
isolation,isolation,,0.061345
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.006179
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.007071
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.004548
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.007749
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.016874
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.005272
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.005176
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.003952
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.005412
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.011311
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.005845
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.005225
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.003405
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.005673
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.007154
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.004487
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.004984
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.004347
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.014445
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.007409
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.004809
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.006466
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.006082
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.006213
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.005898
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.004934
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.004875
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.006121
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.007224
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.005486
d0_nbh_dR_07,d0_nbh_dR_07,d0_nbh_dR,0.005254
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.003625
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.004251
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.005114
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.004106
d0_nbh_dR_08,d0_nbh_dR_08,d0_nbh_dR,0.000000
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.006678
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.004950
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.005178
dz0sintheta_nbh_dR_08,Δz0sinθ_nbh_dR_08,dz0sintheta_nbh_dR,0.007343
d0_nbh_dR_09,d0_nbh_dR_09,d0_nbh_dR,0.005578
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.000000
deta_nbh_dR_09,Δeta_nbh_dR_09,deta_nbh_dR,0.000000
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.000000
dz0sintheta_nbh_dR_09,Δz0sinθ_nbh_dR_09,dz0sintheta_nbh_dR,0.003888
d0_nbh_dR_10,d0_nbh_dR_10,d0_nbh_dR,0.000000
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.000000
deta_nbh_dR_10,Δeta_nbh_dR_10,deta_nbh_dR,0.000000
deltaR_nbh_dR_10,ΔR_nbh_dR_10,deltaR_nbh_dR,0.000000
dz0sintheta_nbh_dR_10,Δz0sinθ_nbh_dR_10,dz0sintheta_nbh_dR,0.000000
d0_nbh_pT_01,d0_nbh_pT_01,d0_nbh_pT,0.005759
pt_nbh_pT_01,pT_nbh_pT_01,pt_nbh_pT,0.210792
deta_nbh_pT_01,Δeta_nbh_pT_01,deta_nbh_pT,0.003665
deltaR_nbh_pT_01,ΔR_nbh_pT_01,deltaR_nbh_pT,0.006000
dz0sintheta_nbh_pT_01,Δz0sinθ_nbh_pT_01,dz0sintheta_nbh_pT,0.030582
d0_nbh_pT_02,d0_nbh_pT_02,d0_nbh_pT,0.005192
pt_nbh_pT_02,pT_nbh_pT_02,pt_nbh_pT,0.081230
deta_nbh_pT_02,Δeta_nbh_pT_02,deta_nbh_pT,0.004247
deltaR_nbh_pT_02,ΔR_nbh_pT_02,deltaR_nbh_pT,0.007781
dz0sintheta_nbh_pT_02,Δz0sinθ_nbh_pT_02,dz0sintheta_nbh_pT,0.018961
d0_nbh_pT_03,d0_nbh_pT_03,d0_nbh_pT,0.005590
pt_nbh_pT_03,pT_nbh_pT_03,pt_nbh_pT,0.071842
deta_nbh_pT_03,Δeta_nbh_pT_03,deta_nbh_pT,0.005336
deltaR_nbh_pT_03,ΔR_nbh_pT_03,deltaR_nbh_pT,0.006318
dz0sintheta_nbh_pT_03,Δz0sinθ_nbh_pT_03,dz0sintheta_nbh_pT,0.006613
d0_nbh_pT_04,d0_nbh_pT_04,d0_nbh_pT,0.004707
pt_nbh_pT_04,pT_nbh_pT_04,pt_nbh_pT,0.026174
deta_nbh_pT_04,Δeta_nbh_pT_04,deta_nbh_pT,0.006302
deltaR_nbh_pT_04,ΔR_nbh_pT_04,deltaR_nbh_pT,0.004888
dz0sintheta_nbh_pT_04,Δz0sinθ_nbh_pT_04,dz0sintheta_nbh_pT,0.006092
d0_nbh_pT_05,d0_nbh_pT_05,d0_nbh_pT,0.006501
pt_nbh_pT_05,pT_nbh_pT_05,pt_nbh_pT,0.010532
deta_nbh_pT_05,Δeta_nbh_pT_05,deta_nbh_pT,0.005604
deltaR_nbh_pT_05,ΔR_nbh_pT_05,deltaR_nbh_pT,0.005231
dz0sintheta_nbh_pT_05,Δz0sinθ_nbh_pT_05,dz0sintheta_nbh_pT,0.005895
d0_nbh_pT_06,d0_nbh_pT_06,d0_nbh_pT,0.004506
pt_nbh_pT_06,pT_nbh_pT_06,pt_nbh_pT,0.012808
deta_nbh_pT_06,Δeta_nbh_pT_06,deta_nbh_pT,0.004843
deltaR_nbh_pT_06,ΔR_nbh_pT_06,deltaR_nbh_pT,0.004023
dz0sintheta_nbh_pT_06,Δz0sinθ_nbh_pT_06,dz0sintheta_nbh_pT,0.006274
d0_nbh_pT_07,d0_nbh_pT_07,d0_nbh_pT,0.008429
