feature_name,display_name,neighbor_group,importance
pt,pT,,0.020725
eta,eta,,0.007662
abs_z0sinTheta,|z0sinθ|,,0.011472
d0,d0,,0.013353
isolation,isolation,,0.063525
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.004196
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.016773
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.003410
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.008352
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.023292
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.002931
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.003564
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.002457
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.000000
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.010905
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.002956
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.002782
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.003611
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.012955
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.009999
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.004975
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.003475
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.002849
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.020448
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.004431
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.003093
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.003253
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.004396
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.003363
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.003118
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.003702
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.003093
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.003377
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.015556
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.004699
d0_nbh_dR_07,d0_nbh_dR_07,d0_nbh_dR,0.003719
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.002959
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.003908
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.004146
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.004479
d0_nbh_dR_08,d0_nbh_dR_08,d0_nbh_dR,0.002502
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.003785
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.002962
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.003752
dz0sintheta_nbh_dR_08,Δz0sinθ_nbh_dR_08,dz0sintheta_nbh_dR,0.003859
d0_nbh_dR_09,d0_nbh_dR_09,d0_nbh_dR,0.002625
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.003742
deta_nbh_dR_09,Δeta_nbh_dR_09,deta_nbh_dR,0.004120
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.006652
dz0sintheta_nbh_dR_09,Δz0sinθ_nbh_dR_09,dz0sintheta_nbh_dR,0.004451
d0_nbh_dR_10,d0_nbh_dR_10,d0_nbh_dR,0.002240
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.004808
deta_nbh_dR_10,Δeta_nbh_dR_10,deta_nbh_dR,0.004693
deltaR_nbh_dR_10,ΔR_nbh_dR_10,deltaR_nbh_dR,0.003652
dz0sintheta_nbh_dR_10,Δz0sinθ_nbh_dR_10,dz0sintheta_nbh_dR,0.003131
d0_nbh_pT_01,d0_nbh_pT_01,d0_nbh_pT,0.003264
pt_nbh_pT_01,pT_nbh_pT_01,pt_nbh_pT,0.144386
deta_nbh_pT_01,Δeta_nbh_pT_01,deta_nbh_pT,0.003667
deltaR_nbh_pT_01,ΔR_nbh_pT_01,deltaR_nbh_pT,0.013163
dz0sintheta_nbh_pT_01,Δz0sinθ_nbh_pT_01,dz0sintheta_nbh_pT,0.016999
d0_nbh_pT_02,d0_nbh_pT_02,d0_nbh_pT,0.003857
pt_nbh_pT_02,pT_nbh_pT_02,pt_nbh_pT,0.149640
deta_nbh_pT_02,Δeta_nbh_pT_02,deta_nbh_pT,0.002881
deltaR_nbh_pT_02,ΔR_nbh_pT_02,deltaR_nbh_pT,0.002618
dz0sintheta_nbh_pT_02,Δz0sinθ_nbh_pT_02,dz0sintheta_nbh_pT,0.014611
d0_nbh_pT_03,d0_nbh_pT_03,d0_nbh_pT,0.002788
pt_nbh_pT_03,pT_nbh_pT_03,pt_nbh_pT,0.066724
deta_nbh_pT_03,Δeta_nbh_pT_03,deta_nbh_pT,0.003921
deltaR_nbh_pT_03,ΔR_nbh_pT_03,deltaR_nbh_pT,0.003346
dz0sintheta_nbh_pT_03,Δz0sinθ_nbh_pT_03,dz0sintheta_nbh_pT,0.007265
d0_nbh_pT_04,d0_nbh_pT_04,d0_nbh_pT,0.003491
pt_nbh_pT_04,pT_nbh_pT_04,pt_nbh_pT,0.042959
deta_nbh_pT_04,Δeta_nbh_pT_04,deta_nbh_pT,0.004027
deltaR_nbh_pT_04,ΔR_nbh_pT_04,deltaR_nbh_pT,0.004365
dz0sintheta_nbh_pT_04,Δz0sinθ_nbh_pT_04,dz0sintheta_nbh_pT,0.006485
d0_nbh_pT_05,d0_nbh_pT_05,d0_nbh_pT,0.003874
pt_nbh_pT_05,pT_nbh_pT_05,pt_nbh_pT,0.009144
deta_nbh_pT_05,Δeta_nbh_pT_05,deta_nbh_pT,0.003691
deltaR_nbh_pT_05,ΔR_nbh_pT_05,deltaR_nbh_pT,0.004014
dz0sintheta_nbh_pT_05,Δz0sinθ_nbh_pT_05,dz0sintheta_nbh_pT,0.005032
d0_nbh_pT_06,d0_nbh_pT_06,d0_nbh_pT,0.002844
pt_nbh_pT_06,pT_nbh_pT_06,pt_nbh_pT,0.004184
deta_nbh_pT_06,Δeta_nbh_pT_06,deta_nbh_pT,0.002470
