feature_name,display_name,neighbor_group,importance
pt,pT,,0.015680
eta,eta,,0.005818
abs_z0sinTheta,|z0sinθ|,,0.014224
isolation,isolation,,0.077948
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.012571
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.003218
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.005218
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.026162
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.016600
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.003487
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.007136
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.011697
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.006205
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.003105
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.016797
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.010975
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.003941
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.003595
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.017143
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.004176
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.004673
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.002901
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.020701
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.004193
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.004478
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.002991
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.002528
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.003798
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.002657
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.003136
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.002467
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.006447
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.003079
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.003769
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.007054
dz0sintheta_nbh_dR_08,Δz0sinθ_nbh_dR_08,dz0sintheta_nbh_dR,0.000000
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.003773
deta_nbh_dR_09,Δeta_nbh_dR_09,deta_nbh_dR,0.004355
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.007571
dz0sintheta_nbh_dR_09,Δz0sinθ_nbh_dR_09,dz0sintheta_nbh_dR,0.003583
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.004556
deta_nbh_dR_10,Δeta_nbh_dR_10,deta_nbh_dR,0.003996
deltaR_nbh_dR_10,ΔR_nbh_dR_10,deltaR_nbh_dR,0.004601
dz0sintheta_nbh_dR_10,Δz0sinθ_nbh_dR_10,dz0sintheta_nbh_dR,0.003420
pt_nbh_pT_01,pT_nbh_pT_01,pt_nbh_pT,0.168876
deta_nbh_pT_01,Δeta_nbh_pT_01,deta_nbh_pT,0.003876
deltaR_nbh_pT_01,ΔR_nbh_pT_01,deltaR_nbh_pT,0.027356
dz0sintheta_nbh_pT_01,Δz0sinθ_nbh_pT_01,dz0sintheta_nbh_pT,0.020962
pt_nbh_pT_02,pT_nbh_pT_02,pt_nbh_pT,0.124446
deta_nbh_pT_02,Δeta_nbh_pT_02,deta_nbh_pT,0.004436
deltaR_nbh_pT_02,ΔR_nbh_pT_02,deltaR_nbh_pT,0.004416
dz0sintheta_nbh_pT_02,Δz0sinθ_nbh_pT_02,dz0sintheta_nbh_pT,0.015611
pt_nbh_pT_03,pT_nbh_pT_03,pt_nbh_pT,0.070877
deta_nbh_pT_03,Δeta_nbh_pT_03,deta_nbh_pT,0.004182
deltaR_nbh_pT_03,ΔR_nbh_pT_03,deltaR_nbh_pT,0.003242
dz0sintheta_nbh_pT_03,Δz0sinθ_nbh_pT_03,dz0sintheta_nbh_pT,0.006730
pt_nbh_pT_04,pT_nbh_pT_04,pt_nbh_pT,0.050919
deta_nbh_pT_04,Δeta_nbh_pT_04,deta_nbh_pT,0.003130
deltaR_nbh_pT_04,ΔR_nbh_pT_04,deltaR_nbh_pT,0.003138
dz0sintheta_nbh_pT_04,Δz0sinθ_nbh_pT_04,dz0sintheta_nbh_pT,0.006890
pt_nbh_pT_05,pT_nbh_pT_05,pt_nbh_pT,0.010195
deta_nbh_pT_05,Δeta_nbh_pT_05,deta_nbh_pT,0.003114
deltaR_nbh_pT_05,ΔR_nbh_pT_05,deltaR_nbh_pT,0.004649
dz0sintheta_nbh_pT_05,Δz0sinθ_nbh_pT_05,dz0sintheta_nbh_pT,0.004723
pt_nbh_pT_06,pT_nbh_pT_06,pt_nbh_pT,0.011980
deta_nbh_pT_06,Δeta_nbh_pT_06,deta_nbh_pT,0.004022
deltaR_nbh_pT_06,ΔR_nbh_pT_06,deltaR_nbh_pT,0.003566
dz0sintheta_nbh_pT_06,Δz0sinθ_nbh_pT_06,dz0sintheta_nbh_pT,0.004537
pt_nbh_pT_07,pT_nbh_pT_07,pt_nbh_pT,0.003994
deta_nbh_pT_07,Δeta_nbh_pT_07,deta_nbh_pT,0.003173
deltaR_nbh_pT_07,ΔR_nbh_pT_07,deltaR_nbh_pT,0.003453
dz0sintheta_nbh_pT_07,Δz0sinθ_nbh_pT_07,dz0sintheta_nbh_pT,0.002610
pt_nbh_pT_08,pT_nbh_pT_08,pt_nbh_pT,0.003591
deta_nbh_pT_08,Δeta_nbh_pT_08,deta_nbh_pT,0.004187
deltaR_nbh_pT_08,ΔR_nbh_pT_08,deltaR_nbh_pT,0.003263
dz0sintheta_nbh_pT_08,Δz0sinθ_nbh_pT_08,dz0sintheta_nbh_pT,0.003505
pt_nbh_pT_09,pT_nbh_pT_09,pt_nbh_pT,0.004268
deta_nbh_pT_09,Δeta_nbh_pT_09,deta_nbh_pT,0.003361
deltaR_nbh_pT_09,ΔR_nbh_pT_09,deltaR_nbh_pT,0.003361
dz0sintheta_nbh_pT_09,Δz0sinθ_nbh_pT_09,dz0sintheta_nbh_pT,0.005591
pt_nbh_pT_10,pT_nbh_pT_10,pt_nbh_pT,0.002901
deta_nbh_pT_10,Δeta_nbh_pT_10,deta_nbh_pT,0.003496
deltaR_nbh_pT_10,ΔR_nbh_pT_10,deltaR_nbh_pT,0.003916
dz0sintheta_nbh_pT_10,Δz0sinθ_nbh_pT_10,dz0sintheta_nbh_pT,0.003035
