feature_name,display_name,neighbor_group,importance
pt,pT,,0.012281
eta,eta,,0.019480
abs_z0sinTheta,|z0sinθ|,,0.017326
d0,d0,,0.010439
isolation,isolation,,0.039187
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.003048
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.009473
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.003152
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.004223
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.017575
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.003367
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.039902
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.003394
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.009327
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.008473
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.003430
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.005274
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.003431
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.009234
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.007700
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.000000
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.002674
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.002996
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.008198
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.005295
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.001645
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.003262
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.001812
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.004787
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.003097
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.004647
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.003411
