feature_name,display_name,neighbor_group,importance
pt,pT,,0.024157
eta,eta,,0.005496
abs_z0sinTheta,|z0sinθ|,,0.013209
d0,d0,,0.011520
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.002518
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.010975
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.003198
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.007073
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.020588
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.004553
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.006196
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.005122
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.004553
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.012644
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.002533
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.004567
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.004503
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.017354
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.011884
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.002720
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.003238
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.011062
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.019378
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.004590
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.003274
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.003576
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.001984
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.015945
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.004748
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.003414
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.004037
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.003253
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.007854
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.003380
d0_nbh_dR_07,d0_nbh_dR_07,d0_nbh_dR,0.003489
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.004032
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.002911
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.003979
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.004768
d0_nbh_dR_08,d0_nbh_dR_08,d0_nbh_dR,0.004256
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.002749
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.003866
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.011175
dz0sintheta_nbh_dR_08,Δz0sinθ_nbh_dR_08,dz0sintheta_nbh_dR,0.004224
d0_nbh_dR_09,d0_nbh_dR_09,d0_nbh_dR,0.002743
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.003797
deta_nbh_dR_09,Δeta_nbh_dR_09,deta_nbh_dR,0.003908
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.008185
dz0sintheta_nbh_dR_09,Δz0sinθ_nbh_dR_09,dz0sintheta_nbh_dR,0.004464
d0_nbh_dR_10,d0_nbh_dR_10,d0_nbh_dR,0.003025
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.003589
deta_nbh_dR_10,Δeta_nbh_dR_10,deta_nbh_dR,0.004339
deltaR_nbh_dR_10,ΔR_nbh_dR_10,deltaR_nbh_dR,0.004147
dz0sintheta_nbh_dR_10,Δz0sinθ_nbh_dR_10,dz0sintheta_nbh_dR,0.003092
d0_nbh_pT_01,d0_nbh_pT_01,d0_nbh_pT,0.003022
pt_nbh_pT_01,pT_nbh_pT_01,pt_nbh_pT,0.170589
deta_nbh_pT_01,Δeta_nbh_pT_01,deta_nbh_pT,0.005429
deltaR_nbh_pT_01,ΔR_nbh_pT_01,deltaR_nbh_pT,0.019606
dz0sintheta_nbh_pT_01,Δz0sinθ_nbh_pT_01,dz0sintheta_nbh_pT,0.017379
d0_nbh_pT_02,d0_nbh_pT_02,d0_nbh_pT,0.004297
pt_nbh_pT_02,pT_nbh_pT_02,pt_nbh_pT,0.109494
deta_nbh_pT_02,Δeta_nbh_pT_02,deta_nbh_pT,0.003494
deltaR_nbh_pT_02,ΔR_nbh_pT_02,deltaR_nbh_pT,0.005863
dz0sintheta_nbh_pT_02,Δz0sinθ_nbh_pT_02,dz0sintheta_nbh_pT,0.016434
d0_nbh_pT_03,d0_nbh_pT_03,d0_nbh_pT,0.004542
pt_nbh_pT_03,pT_nbh_pT_03,pt_nbh_pT,0.046893
deta_nbh_pT_03,Δeta_nbh_pT_03,deta_nbh_pT,0.005897
deltaR_nbh_pT_03,ΔR_nbh_pT_03,deltaR_nbh_pT,0.002891
dz0sintheta_nbh_pT_03,Δz0sinθ_nbh_pT_03,dz0sintheta_nbh_pT,0.009375
d0_nbh_pT_04,d0_nbh_pT_04,d0_nbh_pT,0.003868
pt_nbh_pT_04,pT_nbh_pT_04,pt_nbh_pT,0.077333
deta_nbh_pT_04,Δeta_nbh_pT_04,deta_nbh_pT,0.006130
deltaR_nbh_pT_04,ΔR_nbh_pT_04,deltaR_nbh_pT,0.003495
dz0sintheta_nbh_pT_04,Δz0sinθ_nbh_pT_04,dz0sintheta_nbh_pT,0.008626
d0_nbh_pT_05,d0_nbh_pT_05,d0_nbh_pT,0.003630
pt_nbh_pT_05,pT_nbh_pT_05,pt_nbh_pT,0.008794
deta_nbh_pT_05,Δeta_nbh_pT_05,deta_nbh_pT,0.002304
deltaR_nbh_pT_05,ΔR_nbh_pT_05,deltaR_nbh_pT,0.004385
dz0sintheta_nbh_pT_05,Δz0sinθ_nbh_pT_05,dz0sintheta_nbh_pT,0.006994
d0_nbh_pT_06,d0_nbh_pT_06,d0_nbh_pT,0.004029
pt_nbh_pT_06,pT_nbh_pT_06,pt_nbh_pT,0.006747
deta_nbh_pT_06,Δeta_nbh_pT_06,deta_nbh_pT,0.003919
deltaR_nbh_pT_06,ΔR_nbh_pT_06,deltaR_nbh_pT,0.003570
dz0sintheta_nbh_pT_06,Δz0sinθ_nbh_pT_06,dz0sintheta_nbh_pT,0.004809
d0_nbh_pT_07,d0_nbh_pT_07,d0_nbh_pT,0.002930
pt_nbh_pT_07,pT_nbh_pT_07,pt_nbh_pT,0.005514
deta_nbh_pT_07,Δeta_nbh_pT_07,deta_nbh_pT,0.003430
deltaR_nbh_pT_07,ΔR_nbh_pT_07,deltaR_nbh_pT,0.003139
dz0sintheta_nbh_pT_07,Δz0sinθ_nbh_pT_07,dz0sintheta_nbh_pT,0.003939
d0_nbh_pT_08,d0_nbh_pT_08,d0_nbh_pT,0.002866
pt_nbh_pT_08,pT_nbh_pT_08,pt_nbh_pT,0.005256
deta_nbh_pT_08,Δeta_nbh_pT_08,deta_nbh_pT,0.004372
deltaR_nbh_pT_08,ΔR_nbh_pT_08,deltaR_nbh_pT,0.003584
dz0sintheta_nbh_pT_08,Δz0sinθ_nbh_pT_08,dz0sintheta_nbh_pT,0.003067
d0_nbh_pT_09,d0_nbh_pT_09,d0_nbh_pT,0.003316
pt_nbh_pT_09,pT_nbh_pT_09,pt_nbh_pT,0.004576
deta_nbh_pT_09,Δeta_nbh_pT_09,deta_nbh_pT,0.002395
deltaR_nbh_pT_09,ΔR_nbh_pT_09,deltaR_nbh_pT,0.004085
dz0sintheta_nbh_pT_09,Δz0sinθ_nbh_pT_09,dz0sintheta_nbh_pT,0.005699
d0_nbh_pT_10,d0_nbh_pT_10,d0_nbh_pT,0.003488
pt_nbh_pT_10,pT_nbh_pT_10,pt_nbh_pT,0.003614
deta_nbh_pT_10,Δeta_nbh_pT_10,deta_nbh_pT,0.003140
deltaR_nbh_pT_10,ΔR_nbh_pT_10,deltaR_nbh_pT,0.002949
dz0sintheta_nbh_pT_10,Δz0sinθ_nbh_pT_10,dz0sintheta_nbh_pT,0.002965
