feature_name,display_name,neighbor_group,importance
pt,pT,,0.014875
eta,eta,,0.022962
abs_z0sinTheta,|z0sinθ|,,0.020239
d0,d0,,0.011305
isolation,isolation,,0.028760
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.004069
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.005245
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.004328
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.003744
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.015936
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.004532
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.004637
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.003500
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.006892
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.010969
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.003264
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.003980
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.003681
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.007764
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.009888
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.003967
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.004896
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.003329
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.007268
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.005174
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.003842
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.004551
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.003362
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.011193
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.004423
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.004484
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.004315
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.004016
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.009408
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.004767
d0_nbh_dR_07,d0_nbh_dR_07,d0_nbh_dR,0.003940
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.004164
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.003972
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.009819
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.004685
d0_nbh_dR_08,d0_nbh_dR_08,d0_nbh_dR,0.004175
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.003294
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.004059
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.006075
dz0sintheta_nbh_dR_08,Δz0sinθ_nbh_dR_08,dz0sintheta_nbh_dR,0.004228
d0_nbh_dR_09,d0_nbh_dR_09,d0_nbh_dR,0.003143
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.004314
deta_nbh_dR_09,Δeta_nbh_dR_09,deta_nbh_dR,0.004141
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.005319
dz0sintheta_nbh_dR_09,Δz0sinθ_nbh_dR_09,dz0sintheta_nbh_dR,0.004371
d0_nbh_dR_10,d0_nbh_dR_10,d0_nbh_dR,0.004924
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.005166
deta_nbh_dR_10,Δeta_nbh_dR_10,deta_nbh_dR,0.003788
deltaR_nbh_dR_10,ΔR_nbh_dR_10,deltaR_nbh_dR,0.006947
dz0sintheta_nbh_dR_10,Δz0sinθ_nbh_dR_10,dz0sintheta_nbh_dR,0.004242
d0_nbh_pT_01,d0_nbh_pT_01,d0_nbh_pT,0.004519
pt_nbh_pT_01,pT_nbh_pT_01,pt_nbh_pT,0.134767
deta_nbh_pT_01,Δeta_nbh_pT_01,deta_nbh_pT,0.004636
deltaR_nbh_pT_01,ΔR_nbh_pT_01,deltaR_nbh_pT,0.016165
dz0sintheta_nbh_pT_01,Δz0sinθ_nbh_pT_01,dz0sintheta_nbh_pT,0.020261
d0_nbh_pT_02,d0_nbh_pT_02,d0_nbh_pT,0.003506
pt_nbh_pT_02,pT_nbh_pT_02,pt_nbh_pT,0.179757
deta_nbh_pT_02,Δeta_nbh_pT_02,deta_nbh_pT,0.004330
deltaR_nbh_pT_02,ΔR_nbh_pT_02,deltaR_nbh_pT,0.005113
dz0sintheta_nbh_pT_02,Δz0sinθ_nbh_pT_02,dz0sintheta_nbh_pT,0.013961
d0_nbh_pT_03,d0_nbh_pT_03,d0_nbh_pT,0.002812
pt_nbh_pT_03,pT_nbh_pT_03,pt_nbh_pT,0.040031
deta_nbh_pT_03,Δeta_nbh_pT_03,deta_nbh_pT,0.003963
deltaR_nbh_pT_03,ΔR_nbh_pT_03,deltaR_nbh_pT,0.003839
dz0sintheta_nbh_pT_03,Δz0sinθ_nbh_pT_03,dz0sintheta_nbh_pT,0.007572
d0_nbh_pT_04,d0_nbh_pT_04,d0_nbh_pT,0.003156
pt_nbh_pT_04,pT_nbh_pT_04,pt_nbh_pT,0.026830
deta_nbh_pT_04,Δeta_nbh_pT_04,deta_nbh_pT,0.003566
deltaR_nbh_pT_04,ΔR_nbh_pT_04,deltaR_nbh_pT,0.003938
dz0sintheta_nbh_pT_04,Δz0sinθ_nbh_pT_04,dz0sintheta_nbh_pT,0.008065
d0_nbh_pT_05,d0_nbh_pT_05,d0_nbh_pT,0.003987
pt_nbh_pT_05,pT_nbh_pT_05,pt_nbh_pT,0.014347
deta_nbh_pT_05,Δeta_nbh_pT_05,deta_nbh_pT,0.004014
deltaR_nbh_pT_05,ΔR_nbh_pT_05,deltaR_nbh_pT,0.003574
dz0sintheta_nbh_pT_05,Δz0sinθ_nbh_pT_05,dz0sintheta_nbh_pT,0.004902
d0_nbh_pT_06,d0_nbh_pT_06,d0_nbh_pT,0.003144
pt_nbh_pT_06,pT_nbh_pT_06,pt_nbh_pT,0.008523
deta_nbh_pT_06,Δeta_nbh_pT_06,deta_nbh_pT,0.003792
deltaR_nbh_pT_06,ΔR_nbh_pT_06,deltaR_nbh_pT,0.003343
dz0sintheta_nbh_pT_06,Δz0sinθ_nbh_pT_06,dz0sintheta_nbh_pT,0.003475
d0_nbh_pT_07,d0_nbh_pT_07,d0_nbh_pT,0.004577
pt_nbh_pT_07,pT_nbh_pT_07,pt_nbh_pT,0.006810
deta_nbh_pT_07,Δeta_nbh_pT_07,deta_nbh_pT,0.003513
deltaR_nbh_pT_07,ΔR_nbh_pT_07,deltaR_nbh_pT,0.004126
dz0sintheta_nbh_pT_07,Δz0sinθ_nbh_pT_07,dz0sintheta_nbh_pT,0.004839
d0_nbh_pT_08,d0_nbh_pT_08,d0_nbh_pT,0.003534
pt_nbh_pT_08,pT_nbh_pT_08,pt_nbh_pT,0.005096
deta_nbh_pT_08,Δeta_nbh_pT_08,deta_nbh_pT,0.004162
deltaR_nbh_pT_08,ΔR_nbh_pT_08,deltaR_nbh_pT,0.003681
dz0sintheta_nbh_pT_08,Δz0sinθ_nbh_pT_08,dz0sintheta_nbh_pT,0.003983
d0_nbh_pT_09,d0_nbh_pT_09,d0_nbh_pT,0.003294
pt_nbh_pT_09,pT_nbh_pT_09,pt_nbh_pT,0.011555
deta_nbh_pT_09,Δeta_nbh_pT_09,deta_nbh_pT,0.003986
deltaR_nbh_pT_09,ΔR_nbh_pT_09,deltaR_nbh_pT,0.003911
dz0sintheta_nbh_pT_09,Δz0sinθ_nbh_pT_09,dz0sintheta_nbh_pT,0.004300
d0_nbh_pT_10,d0_nbh_pT_10,d0_nbh_pT,0.003981
pt_nbh_pT_10,pT_nbh_pT_10,pt_nbh_pT,0.003741
deta_nbh_pT_10,Δeta_nbh_pT_10,deta_nbh_pT,0.003992
deltaR_nbh_pT_10,ΔR_nbh_pT_10,deltaR_nbh_pT,0.004459
dz0sintheta_nbh_pT_10,Δz0sinθ_nbh_pT_10,dz0sintheta_nbh_pT,0.004241
