feature_name,display_name,neighbor_group,importance
pt,pT,,0.014930
eta,eta,,0.005764
abs_z0sinTheta,|z0sinθ|,,0.012002
d0,d0,,0.011612
isolation,isolation,,0.050970
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.003792
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.011240
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.003337
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.006228
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.014236
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.003515
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.012047
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.005112
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.006863
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.013565
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.003070
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.004064
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.004117
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.011725
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.008917
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.004165
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.003703
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.003834
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.021021
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.003658
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.003788
