feature_name,display_name,neighbor_group,importance
pt,pT,,0.014020
eta,eta,,0.005630
abs_z0sinTheta,|z0sinθ|,,0.008634
abs_d0,|d0|,,0.018524
d0_nbh_dR_01,|d0|_nbh_dR_01,d0_nbh_dR,0.006705
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.007642
eta_nbh_dR_01,eta_nbh_dR_01,eta_nbh_dR,0.006811
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.006929
zsintheta_nbh_dR_01,|z0sinθ|_nbh_dR_01,zsintheta_nbh_dR,0.008251
d0_nbh_dR_02,|d0|_nbh_dR_02,d0_nbh_dR,0.006612
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.007318
eta_nbh_dR_02,eta_nbh_dR_02,eta_nbh_dR,0.007871
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.007408
zsintheta_nbh_dR_02,|z0sinθ|_nbh_dR_02,zsintheta_nbh_dR,0.008094
d0_nbh_dR_03,|d0|_nbh_dR_03,d0_nbh_dR,0.006754
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.006785
eta_nbh_dR_03,eta_nbh_dR_03,eta_nbh_dR,0.007399
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.009088
zsintheta_nbh_dR_03,|z0sinθ|_nbh_dR_03,zsintheta_nbh_dR,0.007839
d0_nbh_dR_04,|d0|_nbh_dR_04,d0_nbh_dR,0.007303
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.007248
eta_nbh_dR_04,eta_nbh_dR_04,eta_nbh_dR,0.008415
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.008645
zsintheta_nbh_dR_04,|z0sinθ|_nbh_dR_04,zsintheta_nbh_dR,0.008109
d0_nbh_dR_05,|d0|_nbh_dR_05,d0_nbh_dR,0.007070
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.006965
eta_nbh_dR_05,eta_nbh_dR_05,eta_nbh_dR,0.007808
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.008449
zsintheta_nbh_dR_05,|z0sinθ|_nbh_dR_05,zsintheta_nbh_dR,0.008378
d0_nbh_dR_06,|d0|_nbh_dR_06,d0_nbh_dR,0.007134
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.006972
eta_nbh_dR_06,eta_nbh_dR_06,eta_nbh_dR,0.008213
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.010283
zsintheta_nbh_dR_06,|z0sinθ|_nbh_dR_06,zsintheta_nbh_dR,0.007923
d0_nbh_dR_07,|d0|_nbh_dR_07,d0_nbh_dR,0.007571
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.006873
eta_nbh_dR_07,eta_nbh_dR_07,eta_nbh_dR,0.007729
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.007283
zsintheta_nbh_dR_07,|z0sinθ|_nbh_dR_07,zsintheta_nbh_dR,0.009203
d0_nbh_dR_08,|d0|_nbh_dR_08,d0_nbh_dR,0.006755
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.007422
eta_nbh_dR_08,eta_nbh_dR_08,eta_nbh_dR,0.007905
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.008298
zsintheta_nbh_dR_08,|z0sinθ|_nbh_dR_08,zsintheta_nbh_dR,0.007845
d0_nbh_dR_09,|d0|_nbh_dR_09,d0_nbh_dR,0.007209
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.007131
eta_nbh_dR_09,eta_nbh_dR_09,eta_nbh_dR,0.007589
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.008126
zsintheta_nbh_dR_09,|z0sinθ|_nbh_dR_09,zsintheta_nbh_dR,0.007745
d0_nbh_dR_10,|d0|_nbh_dR_10,d0_nbh_dR,0.006947
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.007120
eta_nbh_dR_10,eta_nbh_dR_10,eta_nbh_dR,0.008390
deltaR_nbh_dR_10,ΔR_nbh_dR_10,deltaR_nbh_dR,0.008474
zsintheta_nbh_dR_10,|z0sinθ|_nbh_dR_10,zsintheta_nbh_dR,0.008439
