feature_name,display_name,neighbor_group,importance
pt,pT,,0.014748
eta,eta,,0.005915
abs_z0sinTheta,|z0sinθ|,,0.010151
d0,d0,,0.011250
isolation,isolation,,0.040152
d0_nbh_dR_01,d0_nbh_dR_01,d0_nbh_dR,0.003711
pt_nbh_dR_01,pT_nbh_dR_01,pt_nbh_dR,0.010379
deta_nbh_dR_01,Δeta_nbh_dR_01,deta_nbh_dR,0.003390
deltaR_nbh_dR_01,ΔR_nbh_dR_01,deltaR_nbh_dR,0.005601
dz0sintheta_nbh_dR_01,Δz0sinθ_nbh_dR_01,dz0sintheta_nbh_dR,0.014662
d0_nbh_dR_02,d0_nbh_dR_02,d0_nbh_dR,0.003147
pt_nbh_dR_02,pT_nbh_dR_02,pt_nbh_dR,0.010476
deta_nbh_dR_02,Δeta_nbh_dR_02,deta_nbh_dR,0.005035
deltaR_nbh_dR_02,ΔR_nbh_dR_02,deltaR_nbh_dR,0.004426
dz0sintheta_nbh_dR_02,Δz0sinθ_nbh_dR_02,dz0sintheta_nbh_dR,0.010853
d0_nbh_dR_03,d0_nbh_dR_03,d0_nbh_dR,0.004034
pt_nbh_dR_03,pT_nbh_dR_03,pt_nbh_dR,0.003923
deta_nbh_dR_03,Δeta_nbh_dR_03,deta_nbh_dR,0.002571
deltaR_nbh_dR_03,ΔR_nbh_dR_03,deltaR_nbh_dR,0.003655
dz0sintheta_nbh_dR_03,Δz0sinθ_nbh_dR_03,dz0sintheta_nbh_dR,0.009072
d0_nbh_dR_04,d0_nbh_dR_04,d0_nbh_dR,0.003532
pt_nbh_dR_04,pT_nbh_dR_04,pt_nbh_dR,0.003877
deta_nbh_dR_04,Δeta_nbh_dR_04,deta_nbh_dR,0.003129
deltaR_nbh_dR_04,ΔR_nbh_dR_04,deltaR_nbh_dR,0.014701
dz0sintheta_nbh_dR_04,Δz0sinθ_nbh_dR_04,dz0sintheta_nbh_dR,0.005015
d0_nbh_dR_05,d0_nbh_dR_05,d0_nbh_dR,0.003191
pt_nbh_dR_05,pT_nbh_dR_05,pt_nbh_dR,0.003355
deta_nbh_dR_05,Δeta_nbh_dR_05,deta_nbh_dR,0.003621
deltaR_nbh_dR_05,ΔR_nbh_dR_05,deltaR_nbh_dR,0.016933
dz0sintheta_nbh_dR_05,Δz0sinθ_nbh_dR_05,dz0sintheta_nbh_dR,0.004851
d0_nbh_dR_06,d0_nbh_dR_06,d0_nbh_dR,0.002970
pt_nbh_dR_06,pT_nbh_dR_06,pt_nbh_dR,0.004091
deta_nbh_dR_06,Δeta_nbh_dR_06,deta_nbh_dR,0.001057
deltaR_nbh_dR_06,ΔR_nbh_dR_06,deltaR_nbh_dR,0.024248
dz0sintheta_nbh_dR_06,Δz0sinθ_nbh_dR_06,dz0sintheta_nbh_dR,0.003243
d0_nbh_dR_07,d0_nbh_dR_07,d0_nbh_dR,0.002858
pt_nbh_dR_07,pT_nbh_dR_07,pt_nbh_dR,0.003074
deta_nbh_dR_07,Δeta_nbh_dR_07,deta_nbh_dR,0.002999
deltaR_nbh_dR_07,ΔR_nbh_dR_07,deltaR_nbh_dR,0.006608
dz0sintheta_nbh_dR_07,Δz0sinθ_nbh_dR_07,dz0sintheta_nbh_dR,0.003089
d0_nbh_dR_08,d0_nbh_dR_08,d0_nbh_dR,0.004295
pt_nbh_dR_08,pT_nbh_dR_08,pt_nbh_dR,0.003517
deta_nbh_dR_08,Δeta_nbh_dR_08,deta_nbh_dR,0.003747
deltaR_nbh_dR_08,ΔR_nbh_dR_08,deltaR_nbh_dR,0.030817
dz0sintheta_nbh_dR_08,Δz0sinθ_nbh_dR_08,dz0sintheta_nbh_dR,0.003532
d0_nbh_dR_09,d0_nbh_dR_09,d0_nbh_dR,0.002708
pt_nbh_dR_09,pT_nbh_dR_09,pt_nbh_dR,0.003575
deta_nbh_dR_09,Δeta_nbh_dR_09,deta_nbh_dR,0.002755
deltaR_nbh_dR_09,ΔR_nbh_dR_09,deltaR_nbh_dR,0.006666
dz0sintheta_nbh_dR_09,Δz0sinθ_nbh_dR_09,dz0sintheta_nbh_dR,0.005694
d0_nbh_dR_10,d0_nbh_dR_10,d0_nbh_dR,0.003674
pt_nbh_dR_10,pT_nbh_dR_10,pt_nbh_dR,0.003535
deta_nbh_dR_10,Δeta_nbh_dR_10,deta_nbh_dR,0.004588
deltaR_nbh_dR_10,ΔR_nbh_dR_10,deltaR_nbh_dR,0.003680
dz0sintheta_nbh_dR_10,Δz0sinθ_nbh_dR_10,dz0sintheta_nbh_dR,0.003424
d0_nbh_pT_01,d0_nbh_pT_01,d0_nbh_pT,0.004161
