key,value
muonnn_version,1.0
model_type,mlp
n_events_requested,0
min_pt_MeV,1000.0
neighbor_dr_cut,0.5
neighbor_dz_cut_mm,10.0
max_neighbors_K,10
use_neighbors,True
use_zeta_order,False
d0_mode,both
use_muon_d0,True
use_nbr_d0,True
use_isolation,True
use_gbreweighter,True
n_features,105
hidden1,15
hidden2,15
n_params,1846
n_signal_events,9291
n_bkg_events,9999
n_signal_muons,9291
n_bkg_muons,570694
n_train,465378
n_holdout,114607
scale_pos_weight,61.618137782561895
epochs,21
batch_size,512
learning_rate,0.001
auc_train,0.8868112307564178
auc_holdout,0.8589561996550625
best_epoch,21
auc_holdout_best,0.8589561996550625
