sample,dr,K,mean_filled_slots,frac_saturated,n_muons,dz_cut
signal,0.2,10,1.5897,0.0006,9291,15.0
signal,0.2,20,1.5898,0.0000,9291,15.0
signal,0.2,30,1.5898,0.0000,9291,15.0
signal,0.2,40,1.5898,0.0000,9291,15.0
signal,0.2,50,1.5898,0.0000,9291,15.0
signal,0.3,10,3.5355,0.0356,9291,15.0
signal,0.3,20,3.5692,0.0000,9291,15.0
signal,0.3,30,3.5692,0.0000,9291,15.0
signal,0.3,40,3.5692,0.0000,9291,15.0
signal,0.3,50,3.5692,0.0000,9291,15.0
signal,0.4,10,5.6499,0.2389,9291,15.0
signal,0.4,20,6.2589,0.0050,9291,15.0
signal,0.4,30,6.2644,0.0000,9291,15.0
signal,0.4,40,6.2644,0.0000,9291,15.0
signal,0.4,50,6.2644,0.0000,9291,15.0
signal,0.5,10,7.1554,0.4681,9291,15.0
signal,0.5,20,9.4645,0.0803,9291,15.0
signal,0.5,30,9.6591,0.0020,9291,15.0
signal,0.5,40,9.6633,0.0000,9291,15.0
signal,0.5,50,9.6633,0.0000,9291,15.0
signal,0.6,10,8.0767,0.6267,9291,15.0
signal,0.6,20,12.3454,0.2716,9291,15.0
signal,0.6,30,13.6152,0.0433,9291,15.0
signal,0.6,40,13.7457,0.0018,9291,15.0
signal,0.6,50,13.7505,0.0001,9291,15.0
signal,0.7,10,8.6759,0.7293,9291,15.0
signal,0.7,20,14.3924,0.4482,9291,15.0
signal,0.7,30,17.4387,0.1912,9291,15.0
signal,0.7,40,18.3795,0.0393,9291,15.0
signal,0.7,50,18.5062,0.0029,9291,15.0
signal,0.8,10,9.0667,0.8057,9291,15.0
signal,0.8,20,15.8036,0.5767,9291,15.0
signal,0.8,30,20.3799,0.3602,9291,15.0
signal,0.8,40,22.8856,0.1626,9291,15.0
signal,0.8,50,23.7517,0.0403,9291,15.0
signal,0.9,10,9.3199,0.8593,9291,15.0
signal,0.9,20,16.8170,0.6626,9291,15.0
signal,0.9,30,22.5199,0.4907,9291,15.0
signal,0.9,40,26.4850,0.3165,9291,15.0
signal,0.9,50,28.7434,0.1564,9291,15.0
signal,1.0,10,9.4810,0.8916,9291,15.0
signal,1.0,20,17.5388,0.7302,9291,15.0
signal,1.0,30,24.0651,0.5915,9291,15.0
signal,1.0,40,29.1877,0.4475,9291,15.0
signal,1.0,50,32.8677,0.2980,9291,15.0
signal,1.5,10,9.8035,0.9602,9291,15.0
signal,1.5,20,19.1083,0.9040,9291,15.0
signal,1.5,30,27.7762,0.8372,9291,15.0
signal,1.5,40,35.7472,0.7676,9291,15.0
signal,1.5,50,43.0326,0.6977,9291,15.0
signal,2.0,10,9.8811,0.9780,9291,15.0
signal,2.0,20,19.5046,0.9492,9291,15.0
signal,2.0,30,28.8083,0.9138,9291,15.0
signal,2.0,40,37.7311,0.8747,9291,15.0
signal,2.0,50,46.2597,0.8354,9291,15.0
signal,3.0,10,9.9242,0.9860,9291,15.0
signal,3.0,20,19.7169,0.9733,9291,15.0
signal,3.0,30,29.3512,0.9575,9291,15.0
signal,3.0,40,38.8442,0.9423,9291,15.0
signal,3.0,50,48.1603,0.9239,9291,15.0
signal,5.0,10,9.9299,0.9871,9291,15.0
