version,dR,dz,n_sig,n_bkg,auc_iso,youden_cut
1.0,0.4,auto,9291,570694,0.7509564538648941,1.1973236554868976
1.0,0.5,auto,9291,570694,0.7507850567499181,1.7541814026549245
1.0,0.3,auto,9291,570694,0.7449187627498508,0.8166877281375721
1.0,0.3,10,9291,570694,0.7381949850908545,2.3746644721490244
1.0*,0.2,none,9291,570694,0.7367106103196165,2.775301569600276
1.0,0.2,10,9291,570694,0.7327463018450289,1.3243355745203431
1.0,0.2,15,9291,570694,0.7294691764159715,1.6042969098489568
1.0,0.2,25,9291,570694,0.7285679603739583,1.954821671129992
1.0,0.2,30,9291,570694,0.7284952717869397,1.9437411457542382
1.0,0.3,15,9291,570694,0.7282048240972008,3.063316059524437
1.0,0.2,20,9291,570694,0.7280545451047087,1.6255129263437031
1.0,0.2,auto,9291,570694,0.7273419126234466,0.5318356398569614
1.0,0.3,20,9291,570694,0.723194567784684,3.3448673331671066
1.0,0.4,10,9291,570694,0.722506647514409,3.4228743727927187
1.0,0.3,25,9291,570694,0.7207892852062641,3.8258709292335946
1.0,0.3,30,9291,570694,0.718843256018743,3.856595690181836
1.0*,0.3,none,9291,570694,0.7171036824812788,6.560197350089973
1.0,0.4,15,9291,570694,0.708443464271362,4.88703554943759
1.0,0.5,10,9291,570694,0.701344293243415,3.8826366846800804
1.0,0.4,20,9291,570694,0.6999993936991279,5.665640542624442
1.0,0.4,25,9291,570694,0.695404672067691,5.665640542624442
1.0,0.4,30,9291,570694,0.6917148294045891,5.829842273824474
1.0*,0.4,none,9291,570694,0.6861448786290569,11.932961800972171
1.0,0.5,15,9291,570694,0.6851891428463364,6.378084375596049
1.0,0.5,20,9291,570694,0.675517229271008,7.628765481243067
1.0,0.5,25,9291,570694,0.6698083828263763,7.776901868033467
1.0,0.5,30,9291,570694,0.6655756280774707,9.94972462677802
1.0*,0.5,none,9291,570694,0.6603588812244963,19.661320707002094
