version,dR,dz,n_sig,n_bkg,auc_iso,youden_cut,path
1.0,0.4,auto,9291,570694,0.7509564538648941,1.1973236554868976,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.4_dzauto_v1.0_nMAX/summary.csv
1.0,0.5,auto,9291,570694,0.7507850567499181,1.7541814026549245,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.5_dzauto_v1.0_nMAX/summary.csv
1.0,0.3,auto,9291,570694,0.7449187627498508,0.8166877281375721,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.3_dzauto_v1.0_nMAX/summary.csv
1.0,0.3,10,9291,570694,0.7381949850908545,2.3746644721490244,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.3_dz10mm_v1.0_nMAX/summary.csv
1.0*,0.2,none,9291,570694,0.7367106103196165,2.775301569600276,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.2_dznone_nMAX/summary.csv
1.0,0.2,10,9291,570694,0.7327463018450289,1.3243355745203431,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.2_dz10mm_v1.0_nMAX/summary.csv
1.0,0.2,15,9291,570694,0.7294691764159715,1.6042969098489568,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.2_dz15mm_v1.0_nMAX/summary.csv
1.0,0.2,25,9291,570694,0.7285679603739583,1.954821671129992,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.2_dz25mm_v1.0_nMAX/summary.csv
1.0,0.2,30,9291,570694,0.7284952717869397,1.9437411457542382,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.2_dz30mm_v1.0_nMAX/summary.csv
1.0,0.3,15,9291,570694,0.7282048240972008,3.063316059524437,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.3_dz15mm_v1.0_nMAX/summary.csv
1.0,0.2,20,9291,570694,0.7280545451047087,1.6255129263437031,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.2_dz20mm_v1.0_nMAX/summary.csv
1.0,0.2,auto,9291,570694,0.7273419126234466,0.5318356398569614,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.2_dzauto_v1.0_nMAX/summary.csv
1.0,0.3,20,9291,570694,0.723194567784684,3.3448673331671066,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.3_dz20mm_v1.0_nMAX/summary.csv
1.0,0.4,10,9291,570694,0.722506647514409,3.4228743727927187,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.4_dz10mm_v1.0_nMAX/summary.csv
1.0,0.3,25,9291,570694,0.7207892852062641,3.8258709292335946,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.3_dz25mm_v1.0_nMAX/summary.csv
1.0,0.3,30,9291,570694,0.718843256018743,3.856595690181836,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.3_dz30mm_v1.0_nMAX/summary.csv
1.0*,0.3,none,9291,570694,0.7171036824812788,6.560197350089973,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.3_dznone_nMAX/summary.csv
1.0,0.4,15,9291,570694,0.708443464271362,4.88703554943759,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.4_dz15mm_v1.0_nMAX/summary.csv
1.0,0.5,10,9291,570694,0.701344293243415,3.8826366846800804,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.5_dz10mm_v1.0_nMAX/summary.csv
1.0,0.4,20,9291,570694,0.6999993936991279,5.665640542624442,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.4_dz20mm_v1.0_nMAX/summary.csv
1.0,0.4,25,9291,570694,0.695404672067691,5.665640542624442,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.4_dz25mm_v1.0_nMAX/summary.csv
1.0,0.4,30,9291,570694,0.6917148294045891,5.829842273824474,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.4_dz30mm_v1.0_nMAX/summary.csv
1.0*,0.4,none,9291,570694,0.6861448786290569,11.932961800972171,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.4_dznone_nMAX/summary.csv
1.0,0.5,15,9291,570694,0.6851891428463364,6.378084375596049,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.5_dz15mm_v1.0_nMAX/summary.csv
1.0,0.5,20,9291,570694,0.675517229271008,7.628765481243067,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.5_dz20mm_v1.0_nMAX/summary.csv
1.0,0.5,25,9291,570694,0.6698083828263763,7.776901868033467,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.5_dz25mm_v1.0_nMAX/summary.csv
1.0,0.5,30,9291,570694,0.6655756280774707,9.94972462677802,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.5_dz30mm_v1.0_nMAX/summary.csv
1.0*,0.5,none,9291,570694,0.6603588812244963,19.661320707002094,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/isoplot_dr0.5_dznone_nMAX/summary.csv
