version,dR,dz,K,d0,iso,reweight,zeta,depth,trees,lr,reg_lambda,mcw,n_feat,n_train,n_holdout,auc_train,auc_holdout,path,gap
1.1,5.0,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9782026908980676,0.9720170654630348,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr5.0_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.00618562543503276
1.1,5.0,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9776358581689963,0.9713165500605702,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr5.0_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.00631930810842618
1.1,5.0,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9771121674865073,0.971213717756382,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr5.0_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.005898449730125321
1.1,3.0,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9633012039127283,0.954263031288788,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr3.0_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.009038172623940355
1.1,3.0,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9620928834277126,0.9526811666791637,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr3.0_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.009411716748548904
1.1,3.0,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9614042930905824,0.9520775937495592,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr3.0_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.009326699341023148
1.1,2.0,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9442908808041854,0.9314410727838496,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr2.0_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.012849808020335862
1.1,1.9,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9423980909418734,0.9297044074717088,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.9_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.01269368347016464
1.1,2.0,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9418611838353873,0.929545658745358,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr2.0_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.012315525090029311
1.1,2.0,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9425138182066554,0.9293526445118424,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr2.0_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.013161173694812955
1.1,1.9,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9400755926976542,0.9273911613083246,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.9_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.01268443138932962
1.1,1.9,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9399690744581187,0.9262149149975917,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.9_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.013754159460527049
1.1,1.8,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.939806185260692,0.9261976892090065,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.8_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.01360849605168557
1.1,1.7,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9374808330046124,0.9244605754204424,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.7_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.013020257584170025
1.1,1.8,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9377199998449105,0.9230835142490406,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.8_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.014636485595869941
1.1,1.8,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9373100653417487,0.9225011055898045,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.8_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.014808959751944184
1.1,1.6,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9348196221547915,0.9209404028650354,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.6_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.013879219289756106
1.1,1.7,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9345487802929671,0.9202385611174032,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.7_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.014310219175563854
1.1,1.7,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9352655177656499,0.9202269341275728,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.7_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.015038583638077085
1.1,1.5,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9319258412911807,0.9170685746978418,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.5_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.01485726659333897
1.1,1.6,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9326210463777848,0.9167385055922052,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.6_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.015882540785579602
1.1,1.6,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9318129310170522,0.9164636277128123,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.6_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.015349303304239892
1.1,1.5,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9291975297974528,0.9136284360999245,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.5_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.015569093697528347
1.1,1.4,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9291979160226641,0.9135066842929987,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.4_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.015691231729665356
1.1,1.5,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.929600973102074,0.9119037222073673,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.5_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.01769725089470675
1.1,1.4,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9264580095456608,0.910102438122038,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.4_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.016355571423622872
1.1,1.3,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9256909790570585,0.909688544478928,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.3_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.016002434578130553
1.1,1.4,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9264862958045589,0.9088759099705909,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.4_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.017610385833968012
1.1,1.2,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9228662713919052,0.9064226318149976,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.2_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.016443639576907643
1.1,1.3,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9226276666275518,0.9053595637778609,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.3_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.017268102849690936
1.1,1.3,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9230136675080125,0.9044095976779074,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.3_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.018604069830105097
1.1,1.1,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9197603140577393,0.903520874850402,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.1_dz15.0_K10_d0on_iso_rw_v1.1_nMAX/summary.csv,0.01623943920733728
1.1,1.2,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9189942257000918,0.902713180739262,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.2_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.016281044960829827
1.1,1.0,15.0,10,both,True,True,True,3,200,0.1,1.0,1.0,155,465378,114607,0.9194715455578719,0.9023939466331757,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.0_dz15.0_K10_d0on_iso_zeta_rw_v1.1_nMAX/summary.csv,0.01707759892469618
1.0,1.0,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9173972222069305,0.9012841678681223,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz15.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.016113054338808275
1.1,1.2,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9189417365332845,0.9004650686198509,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.2_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.01847666791343361
1.0,1.0,15.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9124433834974841,0.9003931740323448,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz15.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.01205020946513935
1.0,1.0,25.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9161779745894615,0.9003489179971929,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz25.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.01582905659226863
1.0,1.0,10.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9165427175108857,0.9002198975324884,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz10.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.01632281997839724
1.0,1.0,35.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9163197668407203,0.8999759931524711,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz35.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.01634377368824913
1.0,1.0,25.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9119624395279738,0.8999585812938804,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz25.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012003858234093445
1.0,1.0,20.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9170123466536358,0.8998472231666204,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz20.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.017165123487015488
1.0,1.0,30.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9158314477178968,0.899698999323144,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz30.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.016132448394752807
1.0,1.0,10.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9118254283011648,0.8995029936564631,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz10.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012322434644701619
1.0,1.0,20.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9119513058406908,0.8988584781691122,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz20.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.0130928276715786
1.1,1.1,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.91620812850949,0.8986516398883939,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.1_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.017556488621096045
1.0,1.0,35.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9106669216131109,0.8986437032870059,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz35.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012023218326104979
