version,dR,dz,K,d0,iso,reweight,zeta,depth,trees,lr,reg_lambda,mcw,n_feat,n_train,n_holdout,auc_train,auc_holdout,gap
1.1,5.0,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9782026908980676,0.9720170654630348,0.00618562543503276
1.1,5.0,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9776358581689963,0.9713165500605702,0.00631930810842618
1.1,5.0,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9771121674865073,0.971213717756382,0.005898449730125321
1.1,3.0,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9633012039127283,0.954263031288788,0.009038172623940355
1.1,3.0,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9620928834277126,0.9526811666791637,0.009411716748548904
1.1,3.0,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9614042930905824,0.9520775937495592,0.009326699341023148
1.1,2.0,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9442908808041854,0.9314410727838496,0.012849808020335862
1.1,1.9,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9423980909418734,0.9297044074717088,0.01269368347016464
1.1,2.0,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9418611838353873,0.929545658745358,0.012315525090029311
1.1,2.0,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9425138182066554,0.9293526445118424,0.013161173694812955
1.1,1.9,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9400755926976542,0.9273911613083246,0.01268443138932962
1.1,1.9,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9399690744581187,0.9262149149975917,0.013754159460527049
1.1,1.8,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.939806185260692,0.9261976892090065,0.01360849605168557
1.1,1.7,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9374808330046124,0.9244605754204424,0.013020257584170025
1.1,1.8,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9377199998449105,0.9230835142490406,0.014636485595869941
1.1,1.8,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9373100653417487,0.9225011055898045,0.014808959751944184
1.1,1.6,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9348196221547915,0.9209404028650354,0.013879219289756106
1.1,1.7,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9345487802929671,0.9202385611174032,0.014310219175563854
1.1,1.7,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9352655177656499,0.9202269341275728,0.015038583638077085
1.1,1.5,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9319258412911807,0.9170685746978418,0.01485726659333897
1.1,1.6,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9326210463777848,0.9167385055922052,0.015882540785579602
1.1,1.6,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9318129310170522,0.9164636277128123,0.015349303304239892
1.1,1.5,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9291975297974528,0.9136284360999245,0.015569093697528347
1.1,1.4,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9291979160226641,0.9135066842929987,0.015691231729665356
1.1,1.5,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.929600973102074,0.9119037222073673,0.01769725089470675
1.1,1.4,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9264580095456608,0.910102438122038,0.016355571423622872
1.1,1.3,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9256909790570585,0.909688544478928,0.016002434578130553
1.1,1.4,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9264862958045589,0.9088759099705909,0.017610385833968012
1.1,1.2,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9228662713919052,0.9064226318149976,0.016443639576907643
1.1,1.3,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9226276666275518,0.9053595637778609,0.017268102849690936
1.1,1.3,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9230136675080125,0.9044095976779074,0.018604069830105097
1.1,1.1,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9197603140577393,0.903520874850402,0.01623943920733728
1.1,1.2,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9189942257000918,0.902713180739262,0.016281044960829827
1.1,1.0,15.0,10,both,True,True,True,3,200,0.1,1.0,1.0,155,465378,114607,0.9194715455578719,0.9023939466331757,0.01707759892469618
1.0,1.0,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9173972222069305,0.9012841678681223,0.016113054338808275
1.1,1.2,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9189417365332845,0.9004650686198509,0.01847666791343361
1.0,1.0,15.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9124433834974841,0.9003931740323448,0.01205020946513935
1.0,1.0,25.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9161779745894615,0.9003489179971929,0.01582905659226863
1.0,1.0,10.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9165427175108857,0.9002198975324884,0.01632281997839724
1.0,1.0,35.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9163197668407203,0.8999759931524711,0.01634377368824913
1.0,1.0,25.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9119624395279738,0.8999585812938804,0.012003858234093445
1.0,1.0,20.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9170123466536358,0.8998472231666204,0.017165123487015488
1.0,1.0,30.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9158314477178968,0.899698999323144,0.016132448394752807
1.0,1.0,10.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9118254283011648,0.8995029936564631,0.012322434644701619
1.0,1.0,20.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9119513058406908,0.8988584781691122,0.0130928276715786
1.1,1.1,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.91620812850949,0.8986516398883939,0.017556488621096045
1.0,1.0,35.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9106669216131109,0.8986437032870059,0.012023218326104979
1.0,1.0,30.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9105509194805578,0.8985050381936834,0.012045881286874338
1.0,0.9,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9141640838047865,0.8984267623591943,0.015737321445592256
1.1,1.1,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9164035114553745,0.8981750812071527,0.01822843024822174
1.0,0.9,10.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9133230861198318,0.8976797986352308,0.015643287484600976
1.0,0.9,10.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9091238362759662,0.8969073146943606,0.012216521581605577
1.0,0.9,15.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9093032447179304,0.8966747701267296,0.012628474591200867
1.0,0.9,30.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9122504026696789,0.896512586261816,0.01573781640786298
1.0,1.0,25.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9129399557051012,0.8962245904470361,0.016715365258065162
1.0,0.9,20.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9136251690323672,0.896149549368027,0.017475619664340192
1.0,1.0,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9131321205972565,0.8958945213413995,0.017237599255856995
1.0,0.9,20.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9085497701612992,0.8958801581682831,0.012669611993016083
1.0,0.9,35.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9118367842625994,0.8958743756850357,0.015962408577563703
1.0,0.9,25.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9086298548182927,0.8955641731307545,0.013065681687538189
1.0,1.0,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9131666151068987,0.8955543639017471,0.01761225120515153
1.0,1.0,20.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9129787169088527,0.8955397263946486,0.017438990514204056
1.0,0.9,25.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9121646355512267,0.8954728413842136,0.016691794167013163
1.0,1.0,15.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9084746528100669,0.8954637024843285,0.013010950325738402
1.0,1.0,30.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.912165166335437,0.8952553160057438,0.016909850329693166
1.0,1.0,5.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9118152849311695,0.8951526411454065,0.016662643785762987
1.0,0.9,35.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9066818979218654,0.8950796611495353,0.011602236772330077
1.0,1.0,10.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9115698773731163,0.8950455173035278,0.016524360069588573
1.0,0.5,10.0,10,both,True,False,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9102311213328245,0.8950376546530392,0.015193466679785272
1.0,1.0,20.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9082007818201965,0.8949578664033773,0.013242915416819212
1.0,1.0,25.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9079850432337416,0.8949144452977371,0.013070597936004513
1.0,1.0,35.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9125688956729552,0.8948929422845386,0.017675953388416543
1.0,0.5,10.0,10,both,True,False,False,4,200,0.1,1.0,1.0,105,465378,114607,0.9284000114634111,0.8948725580768858,0.0335274533865253
1.0,0.9,30.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9074418591228414,0.8948049812677122,0.012636877855129125
1.0,1.0,5.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9068854615261348,0.8947263070525704,0.012159154473564415
1.0,1.0,10.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9072969047903924,0.8945272884831081,0.012769616307284237
1.0,1.0,20.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9131985924682825,0.8944904633206113,0.01870812914767117
1.0,1.0,25.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9081197341710916,0.8942408671068365,0.013878867064255118
1.0,0.8,10.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9108726584503782,0.894230401861784,0.016642256588594195
1.0,1.0,30.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9122442179244631,0.8941840513463137,0.01806016657814935
1.0,0.8,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9102847759331052,0.8939702592955183,0.016314516637586873
1.0,1.0,25.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9126077060914064,0.8939586824014588,0.018649023689947586
1.0,1.0,10.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9117194699339306,0.8939235915068335,0.017795878427097067
1.0,1.0,10.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9073350830570426,0.8939102469477219,0.01342483610932066
1.0*,0.5,15.0,10,both,True,False,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9103458377129812,0.893856761363195,0.016489076349786136
1.0,0.5,15.0,10,both,True,False,False,2,2000,0.03,1.0,1.0,105,465378,114607,0.9119819191468874,0.8938270426436002,0.018154876503287176
1.0,1.0,35.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9123068495798083,0.8937528889753865,0.018553960604421826
1.0,1.0,15.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9083832712492785,0.8937055126893733,0.014677758559905274
1.0*,0.5,15.0,10,both,True,False,False,4,200,0.1,1.0,1.0,105,465378,114607,0.9295706254083469,0.8936712591097727,0.035899366298574154
1.0,0.5,15.0,10,both,True,False,False,2,800,0.05,1.0,1.0,105,465378,114607,0.9050116213799835,0.8935448364686066,0.01146678491137687
1.0,0.8,15.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9056035164378414,0.8934652295179243,0.01213828691991714
1.0,0.5,15.0,10,both,True,False,False,2,1500,0.03,1.0,1.0,105,465378,114607,0.9071049433679662,0.8934634594673593,0.013641483900606932
1.0,1.0,20.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9080526219213301,0.8934350599363932,0.014617561984936911
1.0,0.5,10.0,10,both,True,False,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9050955531574066,0.8933223396812722,0.01177321347613447
1.0,0.9,5.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9097782930602227,0.8932689423607223,0.016509350699500436
1.0,1.0,30.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.906836955811821,0.8930973953577117,0.01373956045410929
1.0,0.8,10.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9057356423344192,0.8930310757138318,0.012704566620587388
1.0,1.0,35.0,10,none,True,True,False,2,400,0.1,1.0,1.0,84,465378,114607,0.9066967810347262,0.8929552688851848,0.013741512149541335
1.0,0.5,15.0,10,both,True,False,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9050611125635699,0.8924160976470962,0.01264501491647374
1.0,1.0,35.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.907264914500968,0.8923123159087774,0.014952598592190669
1.0,1.0,30.0,10,muon-off,True,True,False,2,400,0.1,1.0,1.0,104,465378,114607,0.9067707034236653,0.892196964432938,0.014573738990727336
